t,x,v
5.467,0.000108409283546,-0.000182515097639
5.468,0.000108226922001,-0.000182208078405
5.469,0.000108044867217,-0.000181901575626
5.47,0.000107863118678,-0.000181595588433
5.471,0.000107681675868,-0.000181290115959
5.472,0.000107500538275,-0.000180985157338
5.473,0.000107319705383,-0.000180680711705
5.474,0.00010713917668,-0.000180376778198
5.475,0.000106958951656,-0.000180073355956
5.476,0.000106779029798,-0.000179770444117
5.477,0.000106599410598,-0.000179468041824
5.478,0.000106420093545,-0.00017916614822
5.479,0.000106241078132,-0.000178864762448
5.48,0.000106062363851,-0.000178563883654
5.481,0.000105883950196,-0.000178263510987
5.482,0.000105705836661,-0.000177963643593
5.483,0.000105528022741,-0.000177664280624
5.484,0.000105350507932,-0.000177365421231
5.485,0.000105173291731,-0.000177067064567
5.486,0.000104996373635,-0.000176769209785
5.487,0.000104819753144,-0.000176471856043
5.488,0.000104643429757,-0.000176175002496
5.489,0.000104467402973,-0.000175878648304
5.49,0.000104291672294,-0.000175582792627
5.491,0.000104116237222,-0.000175287434625
5.492,0.000103941097259,-0.000174992573462
5.493,0.000103766251909,-0.000174698208303
5.494,0.000103591700677,-0.000174404338312
5.495,0.000103417443068,-0.000174110962657
5.496,0.000103243478587,-0.000173818080506
5.497,0.000103069806743,-0.000173525691029
5.498,0.000102896427041,-0.000173233793398
5.499,0.000102723338992,-0.000172942386784
5.5,0.000102550542104,-0.000172651470362
5.501,0.000102378035888,-0.000172361043308
5.502,0.000102205819855,-0.000172071104798
5.503,0.000102033893516,-0.00017178165401
5.504,0.000101862256385,-0.000171492690125
5.505,0.000101690907974,-0.000171204212322
5.506,0.000101519847798,-0.000170916219784
5.507,0.000101349075373,-0.000170628711696
5.508,0.000101178590214,-0.000170341687241
5.509,0.000101008391837,-0.000170055145607
5.51,0.000100838479762,-0.000169769085981
5.511,0.000100668853505,-0.000169483507553
5.512,0.000100499512587,-0.000169198409513
5.513,0.000100330456526,-0.000168913791053
5.514,0.000100161684845,-0.000168629651366
5.515,9.99931970641e-05,-0.000168345989646
5.516,9.98249927065e-05,-0.000168062805091
5.517,9.96570712951e-05,-0.000167780096897
5.518,9.94894323542e-05,-0.000167497864263
5.519,9.93220754084e-05,-0.000167216106388
5.52,9.91549999834e-05,-0.000166934822475
5.521,9.89882056057e-05,-0.000166654011726
5.522,9.88216918025e-05,-0.000166373673345
5.523,9.86554581018e-05,-0.000166093806537
5.524,9.84895040325e-05,-0.000165814410509
5.525,9.83238291241e-05,-0.00016553548447
5.526,9.81584329072e-05,-0.000165257027629
5.527,9.79933149127e-05,-0.000164979039196
5.528,9.78284746729e-05,-0.000164701518383
5.529,9.76639117204e-05,-0.000164424464404
5.53,9.74996255887e-05,-0.000164147876474
5.531,9.73356158123e-05,-0.000163871753808
5.532,9.71718819263e-05,-0.000163596095624
5.533,9.70084234665e-05,-0.000163320901141
5.534,9.68452399697e-05,-0.000163046169579
5.535,9.66823309733e-05,-0.000162771900158
5.536,9.65196960156e-05,-0.000162498092102
5.537,9.63573346356e-05,-0.000162224744635
5.538,9.61952463731e-05,-0.000161951856981
5.539,9.60334307686e-05,-0.000161679428367
5.54,9.58718873636e-05,-0.000161407458021
5.541,9.57106157001e-05,-0.000161135945172
5.542,9.5549615321e-05,-0.000160864889051
5.543,9.538888577e-05,-0.000160594288889
5.544,9.52284265915e-05,-0.000160324143919
5.545,9.50682373307e-05,-0.000160054453376
5.546,9.49083175335e-05,-0.000159785216494
5.547,9.47486667467e-05,-0.000159516432512
5.548,9.45892845178e-05,-0.000159248100667
5.549,9.44301703949e-05,-0.000158980220199
5.55,9.42713239272e-05,-0.000158712790347
5.551,9.41127446643e-05,-0.000158445810355
5.552,9.39544321567e-05,-0.000158179279466
5.553,9.37963859559e-05,-0.000157913196924
5.554,9.36386056137e-05,-0.000157647561974
5.555,9.3481090683e-05,-0.000157382373865
5.556,9.33238407173e-05,-0.000157117631843
5.557,9.31668552709e-05,-0.00015685333516
5.558,9.30101338988e-05,-0.000156589483066
5.559,9.28536761568e-05,-0.000156326074812
5.56,9.26974816014e-05,-0.000156063109653
5.561,9.254154979e-05,-0.000155800586842
5.562,9.23858802806e-05,-0.000155538505637
5.563,9.22304726318e-05,-0.000155276865293
5.564,9.20753264033e-05,-0.00015501566507
5.565,9.19204411552e-05,-0.000154754904227
5.566,9.17658164486e-05,-0.000154494582025
5.567,9.16114518452e-05,-0.000154234697726
5.568,9.14573469074e-05,-0.000153975250593
5.569,9.13035011985e-05,-0.000153716239892
5.57,9.11499142824e-05,-0.000153457664887
5.571,9.09965857237e-05,-0.000153199524847
5.572,9.0843515088e-05,-0.000152941819038
5.573,9.06907019412e-05,-0.000152684546732
5.574,9.05381458502e-05,-0.000152427707198
5.575,9.03858463828e-05,-0.000152171299709
5.576,9.0233803107e-05,-0.000151915323538
5.577,9.00820155922e-05,-0.00015165977796
5.578,8.99304834078e-05,-0.000151404662249
5.579,8.97792061246e-05,-0.000151149975683
5.58,8.96281833137e-05,-0.00015089571754
5.581,8.9477414547e-05,-0.0001506418871
5.582,8.93268993971e-05,-0.000150388483643
