time,energy,energy_error,angle,angular_velocity
0.643243,2.87035,-1.19904e-14,-0.283977,-2.22614
0.644965,2.87035,-1.28786e-14,-0.287807,-2.22138
0.64669,2.87035,-1.24345e-14,-0.291634,-2.21655
0.648417,2.87035,-1.24345e-14,-0.295459,-2.21165
0.650147,2.87035,-1.24345e-14,-0.299281,-2.20669
0.65188,2.87035,-1.19904e-14,-0.3031,-2.20165
0.653615,2.87035,-1.19904e-14,-0.306916,-2.19654
0.655353,2.87035,-1.19904e-14,-0.310729,-2.19137
0.657094,2.87035,-1.24345e-14,-0.314539,-2.18612
0.658838,2.87035,-1.33227e-14,-0.318346,-2.1808
0.660584,2.87035,-1.28786e-14,-0.32215,-2.17541
0.662334,2.87035,-1.33227e-14,-0.325951,-2.16995
0.664086,2.87035,-1.55431e-14,-0.329749,-2.16442
0.665841,2.87035,-1.5099e-14,-0.333544,-2.15882
0.6676,2.87035,-1.5099e-14,-0.337335,-2.15315
0.669361,2.87035,-1.28786e-14,-0.341122,-2.14741
0.671126,2.87035,-1.33227e-14,-0.344907,-2.14159
0.672894,2.87035,-1.37668e-14,-0.348687,-2.1357
0.674665,2.87035,-1.46549e-14,-0.352464,-2.12974
0.676439,2.87035,-1.46549e-14,-0.356238,-2.12371
0.678217,2.87035,-1.46549e-14,-0.360008,-2.1176
0.679997,2.87035,-1.37668e-14,-0.363773,-2.11142
0.681782,2.87035,-1.33227e-14,-0.367535,-2.10517
0.68357,2.87035,-1.28786e-14,-0.371293,-2.09884
0.685361,2.87035,-1.37668e-14,-0.375047,-2.09244
0.687156,2.87035,-1.33227e-14,-0.378797,-2.08597
0.688954,2.87035,-1.37668e-14,-0.382543,-2.07942
0.690756,2.87035,-1.37668e-14,-0.386284,-2.0728
0.692562,2.87035,-1.46549e-14,-0.390021,-2.0661
0.694372,2.87035,-1.37668e-14,-0.393754,-2.05933
0.696185,2.87035,-1.42109e-14,-0.397482,-2.05248
0.698002,2.87035,-1.42109e-14,-0.401205,-2.04555
0.699823,2.87035,-1.46549e-14,-0.404924,-2.03855
0.701648,2.87035,-1.42109e-14,-0.408638,-2.03148
0.703477,2.87035,-1.5099e-14,-0.412347,-2.02433
0.70531,2.87035,-1.5099e-14,-0.416051,-2.0171
0.707147,2.87035,-1.55431e-14,-0.41975,-2.00979
0.708989,2.87035,-1.46549e-14,-0.423444,-2.0024
0.710834,2.87035,-1.42109e-14,-0.427132,-1.99494
0.712684,2.87035,-1.5099e-14,-0.430815,-1.9874
0.714538,2.87035,-1.59872e-14,-0.434493,-1.97978
0.716397,2.87035,-1.59872e-14,-0.438165,-1.97209
