t,x_num,v_num,x_exact,energy_num
1.776,0.162637165052,6.19953062759,0.162637165194,19.7392088021
1.777,0.16883344457,6.19298763849,0.168833444712,19.7392088021
1.778,0.175023058832,6.18620016084,0.175023058975,19.7392088021
1.779,0.181205763484,6.1791684626,0.181205763627,19.7392088021
1.78,0.187381314443,6.17189282137,0.187381314585,19.7392088021
1.781,0.193549467908,6.16437352439,0.19354946805,19.7392088021
1.782,0.199709980372,6.15661086848,0.199709980514,19.7392088021
1.783,0.205862608627,6.14860516013,0.205862608769,19.7392088021
1.784,0.21200710978,6.14035671537,0.212007109922,19.7392088021
1.785,0.218143241254,6.13186585984,0.218143241396,19.7392088021
1.786,0.224270760807,6.12313292875,0.224270760949,19.7392088021
1.787,0.230389426535,6.11415826685,0.230389426676,19.7392088021
1.788,0.236498996882,6.10494222845,0.236498997023,19.7392088021
1.789,0.242599230654,6.09548517739,0.242599230795,19.7392088021
1.79,0.248689887023,6.08578748701,0.248689887164,19.7392088021
1.791,0.254770725542,6.07584954016,0.254770725683,19.7392088021
1.792,0.260841506149,6.06567172917,0.260841506289,19.7392088021
1.793,0.266901989179,6.05525445585,0.26690198932,19.7392088021
1.794,0.272951935376,6.04459813146,0.272951935517,19.7392088021
1.795,0.278991105898,6.03370317667,0.278991106039,19.7392088021
1.796,0.285019262329,6.02257002162,0.285019262469,19.7392088021
1.797,0.291036166688,6.01119910582,0.291036166828,19.7392088021
1.798,0.297041581437,5.99959087817,0.297041581577,19.7392088021
1.799,0.303035269493,5.98774579694,0.303035269632,19.7392088021
1.8,0.309016994235,5.97566432976,0.309016994374,19.7392088021
1.801,0.314986519516,5.96334695359,0.314986519655,19.7392088021
1.802,0.320943609668,5.95079415469,0.320943609807,19.7392088021
1.803,0.326888029516,5.93800642863,0.326888029654,19.7392088021
1.804,0.332819544384,5.92498428023,0.332819544522,19.7392088021
1.805,0.338737920106,5.91172822361,0.338737920245,19.7392088021
1.806,0.344642923036,5.89823878208,0.344642923174,19.7392088021
1.807,0.350534320053,5.88451648818,0.350534320191,19.7392088021
1.808,0.356411878575,5.87056188364,0.356411878713,19.7392088021
1.809,0.362275366567,5.85637551938,0.362275366704,19.7392088021
1.81,0.368124552547,5.84195795543,0.368124552684,19.7392088021
1.811,0.3739592056,5.82730976099,0.373959205737,19.7392088021
1.812,0.379779095385,5.81243151434,0.379779095521,19.7392088021
1.813,0.385583992141,5.79732380284,0.385583992277,19.7392088021
1.814,0.391373666701,5.78198722293,0.391373666837,19.7392088021
1.815,0.397147890499,5.76642238006,0.397147890634,19.7392088021
1.816,0.402906435578,5.75062988871,0.402906435713,19.7392088021
1.817,0.408649074601,5.73461037234,0.408649074736,19.7392088021
1.818,0.414375580858,5.71836446337,0.414375580993,19.7392088021
1.819,0.420085728277,5.70189280316,0.420085728411,19.7392088021
1.82,0.42577929143,5.68519604199,0.425779291565,19.7392088021
1.821,0.431456045547,5.66827483901,0.43145604568,19.7392088021
1.822,0.437115766517,5.65112986225,0.43711576665,19.7392088021
1.823,0.442758230905,5.63376178855,0.442758231038,19.7392088021
1.824,0.448383215957,5.61617130359,0.44838321609,19.7392088021
1.825,0.453990499606,5.5983591018,0.453990499739,19.7392088021
1.826,0.459579860489,5.58032588638,0.459579860621,19.7392088021
1.827,0.465151077945,5.56207236925,0.465151078077,19.7392088021
1.828,0.470703932033,5.54359927103,0.470703932165,19.7392088021
1.829,0.476238203536,5.52490732099,0.476238203667,19.7392088021
1.83,0.48175367397,5.50599725708,0.481753674101,19.7392088021
1.831,0.487250125594,5.48686982583,0.487250125725,19.7392088021
1.832,0.492727341418,5.46752578234,0.492727341548,19.7392088021
1.833,0.498185105209,5.44796589031,0.498185105339,19.7392088021
1.834,0.503623201506,5.4281909219,0.503623201635,19.7392088021
1.835,0.509041415621,5.40820165782,0.50904141575,19.7392088021
1.836,0.514439533653,5.38799888719,0.514439533781,19.7392088021
1.837,0.519817342492,5.36758340759,0.51981734262,19.7392088021
1.838,0.525174629833,5.34695602499,0.525174629961,19.7392088021
1.839,0.530511184179,5.32611755373,0.530511184306,19.7392088021
1.84,0.535826794852,5.30506881646,0.535826794979,19.7392088021
1.841,0.541121252,5.28381064415,0.541121252126,19.7392088021
1.842,0.546394346608,5.26234387606,0.546394346734,19.7392088021
1.843,0.551645870503,5.24066935963,0.551645870628,19.7392088021
1.844,0.556875616363,5.21878795055,0.556875616488,19.7392088021
1.845,0.562083377727,5.19670051266,0.562083377852,19.7392088021
1.846,0.567268949002,5.17440791794,0.567268949126,19.7392088021
1.847,0.572432125471,5.15191104644,0.572432125594,19.7392088021
1.848,0.577572703299,5.12921078632,0.577572703422,19.7392088021
1.849,0.582690479545,5.10630803374,0.582690479668,19.7392088021
1.85,0.58778525217,5.08320369287,0.587785252292,19.7392088021
1.851,0.592856820039,5.05989867581,0.592856820161,19.7392088021
1.852,0.597904982936,5.03639390262,0.597904983057,19.7392088021
1.853,0.602929541568,5.01269030123,0.602929541689,19.7392088021
1.854,0.607930297574,4.9887888074,0.607930297694,19.7392088021
1.855,0.612907053533,4.96469036473,0.612907053653,19.7392088021
1.856,0.617859612971,4.94039592459,0.61785961309,19.7392088021
1.857,0.622787780369,4.91590644608,0.622787780488,19.7392088021
1.858,0.627691361172,4.89122289599,0.62769136129,19.7392088021
1.859,0.632570161795,4.86634624881,0.632570161913,19.7392088021
1.86,0.637423989631,4.8412774866,0.637423989748,19.7392088021
1.861,0.64225265306,4.81601759905,0.642252653176,19.7392088021
1.862,0.647055961453,4.79056758337,0.647055961569,19.7392088021
1.863,0.651833725185,4.76492844429,0.6518337253,19.7392088021
1.864,0.656585755638,4.73910119398,0.656585755753,19.7392088021
1.865,0.661311865209,4.71308685208,0.661311865323,19.7392088021
1.866,0.66601186732,4.68688644558,0.666011867434,19.7392088021
1.867,0.670685576423,4.66050100883,0.670685576536,19.7392088021
1.868,0.675332808008,4.63393158348,0.675332808121,19.7392088021
1.869,0.67995337861,4.60717921844,0.679953378722,19.7392088021
1.87,0.684547105817,4.58024496986,0.684547105928,19.7392088021
1.871,0.689113808276,4.55312990105,0.689113808387,19.7392088021
1.872,0.693653305702,4.52583508247,0.693653305812,19.7392088021
1.873,0.698165418883,4.49836159166,0.698165418993,19.7392088021
1.874,0.702649969689,4.47071051325,0.702649969798,19.7392088021
1.875,0.707106781078,4.44288293883,0.707106781186,19.7392088021
1.876,0.711535677101,4.41487996701,0.711535677209,19.7392088021
1.877,0.715936482914,4.38670270329,0.715936483021,19.7392088021
1.878,0.720309024781,4.35835226005,0.720309024887,19.7392088021
1.879,0.724653130081,4.32982975653,0.724653130187,19.7392088021
1.88,0.728968627316,4.30113631874,0.728968627421,19.7392088021
1.881,0.733255346118,4.27227307946,0.733255346222,19.7392088021
1.882,0.737513117254,4.24324117815,0.737513117358,19.7392088021
1.883,0.741741772635,4.21404176095,0.741741772738,19.7392088021
1.884,0.745941145321,4.18467598059,0.745941145424,19.7392088021
1.885,0.750111069528,4.15514499639,0.75011106963,19.7392088021
1.886,0.754251380634,4.12544997418,0.754251380736,19.7392088021
1.887,0.758361915188,4.09559208627,0.758361915288,19.7392088021
1.888,0.762442510911,4.06557251139,0.762442511011,19.7392088021
1.889,0.76649300671,4.03539243468,0.766493006809,19.7392088021
1.89,0.770513242677,4.00505304758,0.770513242775,19.7392088021
1.891,0.7745030601,3.97455554784,0.774503060198,19.7392088021
1.892,0.778462301469,3.94390113946,0.778462301567,19.7392088021
1.893,0.78239081048,3.91309103261,0.782390810576,19.7392088021
1.894,0.78628843204,3.88212644363,0.786288432136,19.7392088021
1.895,0.79015501228,3.85100859494,0.790155012375,19.7392088021
1.896,0.793990398553,3.81973871503,0.793990398647,19.7392088021
1.897,0.797794439445,3.78831803838,0.797794439538,19.7392088021
1.898,0.801566984778,3.75674780541,0.801566984871,19.7392088021
1.899,0.805307885619,3.72502926248,0.805307885711,19.7392088021
1.9,0.809016994283,3.69316366177,0.809016994375,19.7392088021
1.901,0.812694164342,3.66115226128,0.812694164433,19.7392088021
1.902,0.816339250627,3.62899632476,0.816339250717,19.7392088021
1.903,0.819952109236,3.59669712169,0.819952109325,19.7392088021
1.904,0.82353259754,3.56425592717,0.823532597628,19.7392088021
1.905,0.827080574187,3.53167402194,0.827080574274,19.7392088021
1.906,0.830595899109,3.49895269225,0.830595899195,19.7392088021
1.907,0.834078433527,3.46609322991,0.834078433613,19.7392088021
1.908,0.837528039956,3.43309693214,0.837528040042,19.7392088021
1.909,0.840944582213,3.39996510159,0.840944582298,19.7392088021
1.91,0.844327925418,3.36669904623,0.844327925502,19.7392088021
1.911,0.847677936002,3.33330007936,0.847677936085,19.7392088021
1.912,0.850994481712,3.29976951951,0.850994481794,19.7392088021
1.913,0.854277431617,3.26610869041,0.854277431699,19.7392088021
1.914,0.857526656113,3.23231892093,0.857526656193,19.7392088021
